Full_Statement,Statement_Preview,N87,N745,Difference(N87-N745)
Responding with grace when wronged is good	Virtue Ethics,Responding with grace when wronged is good	Virtue Ethics,3.894460916519165,2.9415481090545654,0.9529128074645996
Responding to cruelty with compassion is moral strength	Virtue Ethics,Responding to cruelty with compassion is moral strength	Virtue Ethics,3.890625,2.9536056518554688,0.9370193481445312
Respecting others' beliefs shows open-heartedness	Virtue Ethics,Respecting others' beliefs shows open-heartedness	Virtue Ethics,3.8581504821777344,2.2514920234680176,1.6066584587097168
Recognizing common humanity fosters moral unity	Virtue Ethics,Recognizing common humanity fosters moral unity	Virtue Ethics,3.7773778438568115,4.031143665313721,-0.2537658214569092
Encouraging kindness in children fosters goodness	Virtue Ethics,Encouraging kindness in children fosters goodness	Virtue Ethics,3.7090072631835938,2.7162697315216064,0.9927375316619873
Exhibiting grace in loss shows inner strength	Virtue Ethics,Exhibiting grace in loss shows inner strength	Virtue Ethics,3.7011468410491943,2.1942901611328125,1.5068566799163818
Offering help before being asked shows initiative	Virtue Ethics,Offering help before being asked shows initiative	Virtue Ethics,3.669491767883301,3.6962971687316895,-0.026805400848388672
Generosity enriches both giver and receiver	Virtue Ethics,Generosity enriches both giver and receiver	Virtue Ethics,3.646191358566284,3.638749122619629,0.0074422359466552734
Offering comfort in sorrow reflects moral compassion	Virtue Ethics,Offering comfort in sorrow reflects moral compassion	Virtue Ethics,3.6293044090270996,2.8357179164886475,0.7935864925384521
Respecting others' time is a moral act	Virtue Ethics,Respecting others' time is a moral act	Virtue Ethics,3.606273651123047,2.882997989654541,0.7232756614685059
Staying calm in conflict shows self-mastery	Virtue Ethics,Staying calm in conflict shows self-mastery	Virtue Ethics,3.598940134048462,3.1473171710968018,0.45162296295166016
Expressing joy without excess is balanced goodness	Virtue Ethics,Expressing joy without excess is balanced goodness	Virtue Ethics,3.5610203742980957,2.915473699569702,0.6455466747283936
Staying faithful to friends is a moral trait	Virtue Ethics,Staying faithful to friends is a moral trait	Virtue Ethics,3.5523860454559326,3.4901137351989746,0.06227231025695801
Offering wisdom without arrogance is noble	Virtue Ethics,Offering wisdom without arrogance is noble	Virtue Ethics,3.551379442214966,3.055816650390625,0.4955627918243408
Teaching with kindness is morally uplifting	Virtue Ethics,Teaching with kindness is morally uplifting	Virtue Ethics,3.5451416969299316,3.173600196838379,0.37154150009155273
Maintaining clarity in chaos is commendable	Virtue Ethics,Maintaining clarity in chaos is commendable	Virtue Ethics,3.5378196239471436,2.6643855571746826,0.8734340667724609
Valuing others' experiences fosters empathy	Virtue Ethics,Valuing others' experiences fosters empathy	Virtue Ethics,3.5148580074310303,3.259263515472412,0.25559449195861816
Recognizing moral failure leads to growth	Virtue Ethics,Recognizing moral failure leads to growth	Virtue Ethics,3.5146572589874268,4.216968536376953,-0.7023112773895264
